lat,lon,nombre,localidad,provincia,comunidad,empresa,marca
37.28936628652330,-3.122049910079120,Albarcín,Guadix,Granada,Andalucía,Aguas de Albarcín,Montaña Nevada
37.246579602987300,-3.1320215187304800,Aqua Nevada,"El Tesorillo, Albuñán",Granada,Andalucía,Aqua Nevada,Aqua Nevada
36.97593559519872,-3.5817015198930306,Sierra Dúrcal,Dúrcal ,Granada,Andalucía,,Aquadeus
37.24014872738973,-3.1624554358917147,Aquaservice Cogollos de Guadix,Cogollos de Guadix,Granada,Andalucía,,Aquaservice
37.15601725130001,-4.132825420814699,Parque La Presa,Loja,Granada,Andalucía,Grupo San Benedetto,Font Natura
37.1701427659175,-4.183173341327147,El Pilar,Loja ,Granada,Andalucía,,Fontarel
38.05909002925735,-4.208012048673078,La Paz,Marmolejo ,Jaén,Andalucía,,La Paz
36.91637602049032,-3.510203759713487,Salud Fonte Forte,Lanjarón,Granada,Andalucía,,Lanjarón
37.246636878391854,-3.133210386598433,Monssalus,Albuñán,Granada,Andalucía,,Monssalus
37.65121410291710,-3.7964883025827835,Sierras de Jaén,Los Villares,Jaén,Andalucía,Mahou San Miguel,Sierra Natura y Sierras de Jaén
36.78849729340608,-4.841572266437498,Casarabonela,Casarabonela,Málaga,Andalucía,,Sierra Bonela
38.19936550617197,-2.8652877105341013,Sierra de Cazorla,Sorihuela de Guadalimar,Jaén,Andalucía,,Sierra de Cazorla
40.51127754629547,-1.5818281219252586,Bronchales 3 y 5,Bronchales,Teruel,Aragón,Importaco,Agua de Bronchales
40.03995736467849,-0.8688903364665921,El Salvador,Manzanera,Teruel,Aragón,,Aguas de Manzanera
40.77132968249652,-0.6435828805450403,Fuen-Mayor,Cañizar del Olivar,Teruel,Aragón,Aguas del Maestrazgo (Coca-Cola),Aquabona Fuen-Mayor
42.16195650629632,0.34445874461392567,Ribagorza,Graus,Huesca,Aragón,,Aquaservice
41.18211773833124,-1.8885726522017774,Fontecabras,Jaraba,Zaragoza,Aragón,,Fontecabras
41.18942853979553,-1.8772754745994276,Lunares,Jaraba,Zaragoza,Aragón,Cobecsa (Grupo Agora),Lunares y El Cañar
41.35510051434301,-1.2070009938517692,La Majuela,Cariñera,Zaragoza,Aragón,,Sierra del Águila
42.494726434289234,0.5135723737949227,Veri 1 y 4,Bisaurri,Huesca,Aragón,,Veri
42.49665762181769,0.5069225352160868,Sin determinar,Bisaurri,Huesca,Aragón,,Pirinea
42.50127322726396,0.47554733588189298,Veri 5,El Run-Castejón de Sos,Huesca,Aragón,,Veri
42.40387866151117,0.5310224092330746,Vilas,Torre la Ribera,Huesca,Aragón,,Vilas del Turbón
43.09536982838903,-5.476856003076362,Fuente de Cuevas,"Felechosa, Aller",Asturias,Asturias,,Agua de Cuevas
43.39954476647475,-5.319863456331033,Manantial La Victoria,Borines-Piloña,Asturias,Asturias,,Borines
43.346079616004836,-5.484807288865294,Fuensanta,Nava,Asturias,Asturias,,Fuensanta
43.49535866931517,-5.709911558510486,Galea,Meres-Siero,Asturias,Asturias,,Nea
43.38639888891125,-3.7341599409901773,Fuencaliente de Solares,Solares,Cantabria,Cantabria,,Solares
39.88157037054175,-5.098683604399882,Agua del Rosal-Fuentevera,Calera y Chozas,Toledo,Castilla-La Mancha,,Agua del Rosal y Fuentevera
39.88892274267881,-5.003615048576557,Aguadoy,Calera y Chozas,Toledo,Castilla-La Mancha,Importaco,Aguadoy
38.8082807158168,-2.3884030061325974,Fuente Arquillo,El Robledo,Albacete,Castilla-La Mancha,,Aquadeus
41.00805337961564,-2.713664579198911,Font Vella Sigüenza,Moratilla de Henares Sigüenza,Guadalajara,Castilla-La Mancha,,Font Vella
39.68321675286169,-4.6219969639292176,Fuente Madre,Los Navalmorales,Toledo,Castilla-La Mancha,,Fuente Madre
40.14437079478067,-1.689866783500506,Fuente Liviana,Huerta del Marquesado,Cuenca,Castilla-La Mancha,,Fuente Liviana
39.24234373080862,-3.6119478566760037,Agua Mancha,Villarrubia de los Ojos,Ciudad Real,Castilla-La Mancha,,Numen Premium Water
