lat,long,Cafetería,Calle,Descripción de Sara
3.948.902.915.077.550,-40.058.294.543.547.400,Kohi Café de Especialidad,"C/ de la Safor, 9",Calificado con más de 80 puntos por la Specialty Coffee Association (SCA)
3.946.466.464.293.720,-3.752.599.319.419.110,Kopi Specialty Coffee,"Gran Via de les Germanies, 16",De la finca a la taza: un recorrido con trazabilidad y respeto por cada etapa del proceso.
3.947.545.936.607.530,-37.654.123.194.153.100,La Droguería | Speciality Coffee,"C/ de la Corretgeria, 23",Un espacio con decoración cuidada y un café de sabor intenso que marca la diferencia.
394.728.117.730.842,-37.761.530.576.597.600,La Guashira Specialty Coffee,C/ Flassaders 8,Produce variedades exóticas de café de especialidad en su propia finca de Colombia
3.946.096.527.048.490,-37.078.261.844.761.200,Let it bloom,"C/ de Francesc Sempere, 4, Bj Izq 01","Calidad, conocimiento y pasión por el café de especialidad, con opciones veganas creativas."
3.945.948.887.575.630,-37.523.664.543.654.100,Los Picos Café,Plaza Manuel Granero 20,Dominan la AeroPress y preparan un sándwich cubano famoso en la ciudad
3.948.242.751.269.500,-37.159.921.889.529.300,Mayan Coffees,"C/  d'Hug de Montcada, 19, La Saïdia, 46010 València, Valencia",Uno de los pocos locales que ofrece café infusionado
3.947.572.808.262.680,-38.363.697.197.642.200,Mayan Coffees,C/ Murillo 54,Opciones seleccionadas para resaltar las características únicas de cada grano
3.947.285.622.723.600,-34.860.338.961.200.100,Maybean Café,"C/ del Dr. Manuel Candela, 75","Ideal para trabajar o disfrutar de un brunch. Ofrece comida saludable, con opciones veganas y sin gluten."
39.477.571.806.016.700,-3.782.946.750.832.230,Mestizo,"C/ del Portal de Valldigna, 9","Terraza y dos salas, pet friendly, con opciones veganas y sin gluten para todos los gustos."
3.946.158.595.272.570,-3.321.588.184.476.010,MiKENGO,"C. del Dr. Josep Juan Dómine, 9, bajo izquierda","Un nuevo concepto en café y comida. Ofrece café de especialidad, bizcochos y bebidas caseras, increíbles tostadas y opciones sanas para disfrutar en cualquier momento del día"
3.946.623.834.773.830,-3.766.286.615.917.480,Mora caffè,"C/ de Castellón, 2",Ofrece café de alta calidad con un enfoque en el espresso italiano.
3.948.035.216.730.780,-3.633.184.761.173.050,Navel Brunch and coffee,"C/  de Menéndez y Pelayo, 5",Parada obligatoria para los amantes del café. Envuélvete en el sabor refinado del verdadero espresso italiano.
395.353.076.046.395,-3.655.441.715.911.950,Near Me Specialty Coffee,"Plaza del Col·legi del Patriarca, 3",¿Alguna vez has visto cómo tu café se enlata en tiempo real?
3.947.464.243.156.630,-3.777.289.607.767.480,News & Coffee,Plaza Doctor Collado,Un espacio que combina la venta de revistas y prensa con la oferta de café de alta calidad
39.469.565.552.403.400,-38.546.260.310.653.800,Nuwanda Coffee,"C/ del Doctor Sanchis Sivera, 8","Inspirada en la película ""El Club de los Poetas Muertos"""
3.947.181.065.764.390,-3.843.487.742.712.950,Pals cafe. Specialty coffee,"C/ Mestre Palau, 4",Combina la energía de la gran ciudad con la calidez de una comunidad cercana
39.467.154.732.064.500,-372.090.734.602.589,Paper cup specialty coffee,"C/ de Ciril Amorós, 30",Café de especialidad tostado en casa y propuestas creativas como el horchata latte
39.474.530.898.196.900,-38.873.473.009.523.800,Paramoka,"C/ de Sant Ignasi de Loiola, 4, Extramurs, 46008","Tuestes diseñados para cada método: moka, filtro y espresso."
39.473.280.380.656.400,-37.135.995.959.437.400,Pure coffeine,"C/ de la Pau, 23","Modelo Grab&Go, tecnología para garantizar calidad constante"
3.946.951.810.440.840,-3.711.237.608.824.870,Pure Coffeine,"Carrer d'Isabel la Catòlica, 2",Buscan convertir un ritual diario en algo accesible para todos
3.948.503.449.740.380,-37.087.544.005.911.000,Puto Café,"C/ Senda de l'Aire, 2","La cafetería más viral de Valencia: si dices esta palabra malsonante, te cobran menos por el café."
3.947.624.546.417.110,-3.806.132.264.195.080,Q7th Specialty Coffee,"Calle Quart, 7, 46001",Cafés de origen diverso y múltiples formas de preparación
39.483.295.676.182.700,-3.548.848.849.151.650,Raíces Café,Eduardo Boscá 24,"U refugio para los amantes de esta bebida, pero también del arte o la música."
39.473.554.179.671.700,-37.883.651.926.020.900,Retrogusto Coffeemates,Mercado Central – Palcos 169-170,Ubicado en el corazón del Mercado Central
3.948.538.516.166.550,-36.295.000.310.598.500,Riot Specialty Coffee,"C/ del Doctor Vicent Zaragoza, 15","Alog más que café, con cookies variadas"
3.946.796.832.815.810,-3.718.628.846.989.650,Syra Coffee – Cirilo Amorós,"C/ de Ciril Amorós, 35, L'Eixample, 46004",Café de especialidad con compromiso por la sostenibilidad y el comercio justo
